Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Acer,Laptop Acer TravelMate B3 TMB311 31 C2HB N4020/4GB/128GB/Win11 (NX.VNFSV.006),11.6,Intel Celeron,4GB,SSD: 128GB,9990000,4990000,https://www.thegioididong.com/laptop/acer-travelmate-b3-tmb311-31-c2hb-nxvnfsv006?src=osp,TheGioiDiDong
Acer,Laptop Acer TravelMate B3 TMB311 31 P49D N5030/4GB/256GB/Win11 (NX.VNFSV.005),11.6,Intel Pentium,4GB,SSD: 256GB,10990000,5490000,https://www.thegioididong.com/laptop/acer-travelmate-b3-tmb311-31-p49d-n5030-nxvnfsv005?src=osp,TheGioiDiDong
Apple,Laptop Apple MacBook Air M1 2020 16GB/256GB/7-core GPU (Z124000DE),13.3,Apple M1,16GB,SSD: 256GB,33990000,28990000,https://www.thegioididong.com/laptop/apple-macbook-air-m1-2020-z124000de?src=osp,TheGioiDiDong
Acer,Laptop Acer Nitro 5 Gaming AN515 45 R6EV R5 5600H/8GB/512GB/144Hz/4GB GTX1650/Win11 (NH.QBMSV.006),15.6,AMD Ryzen 5,8GB,SSD: 512GB,23990000,19190000,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-45-r6ev-r5-nhqbmsv006?src=osp,TheGioiDiDong
Lenovo,Laptop Lenovo Ideapad 3 15IML05 i3 10110U/4GB/256GB/Win11 (81WB01DPVN),15.6,Intel Core i3,4GB,SSD: 256GB,12490000,9490000,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iml05-i3-81wb01dpvn?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming GE66 Raider 11UG i7 11800H/16GB/2TB SSD/8GB RTX3070/360Hz/Balo/Chu?t/Win10 (258VN),15.6,Intel Core i7,16GB,SSD: 2TB,59990000,52990000,https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11ug-i7-258vn?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming GS66 Stealth 11UG i7 11800H/32GB/2TB SSD/8GB RTX3070 Max-Q/360Hz/Balo/Chu?t/Win10 (219VN),15.6,Intel Core i7,32GB,SSD: 2TB,64990000,53990000,https://www.thegioididong.com/laptop/msi-gaming-gs66-stealth-11ug-i7-219vn?src=osp,TheGioiDiDong
Asus,Laptop Asus TUF Gaming FX506LH i5 10300H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN188W),15.6,Intel Core i5,8GB,SSD: 512GB,20990000,17990000,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx506lh-i5-hn188w?src=osp,TheGioiDiDong
Asus,Laptop Asus ROG Strix Gaming G513IH R7 4800H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN015W),15.6,AMD Ryzen 7,8GB,SSD: 512GB,22990000,19990000,https://www.thegioididong.com/laptop/asus-rog-strix-gaming-g513ih-r7-hn015w?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming GF63 Thin 10SC i7 10750H/8GB/512GB/4GB GTX1650 Max-Q/144Hz/Balo/Chu?t/Win10 (480VN),15.6,Intel Core i7,8GB,SSD: 512GB,22990000,20690000,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-10sc-i7-480vn?src=osp,TheGioiDiDong
LG,Laptop HP Gaming VICTUS 16 e0170AX R7 5800H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (4R0U7PA),16.1,AMD Ryzen 7,8GB,SSD: 512GB,29990000,25990000,https://www.thegioididong.com/laptop/hp-gaming-victus-16-e0170ax-r7-4r0u7pa?src=osp,TheGioiDiDong
