Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Lenovo,"Laptop Lenovo 100e Gen 2 N4020/4GB/64GB eMMC/Intel UHD Graphics 600/11.6""HD/Win 10 Pro - HÀNG CHÍNH HÃNG",11.6,Intel Celeron,4GB,eMMC: 64GB,10000000,5890000,https://tiki.vn/laptop-lenovo-100e-gen-2-n4020-4gb-64gb-emmc-intel-uhd-graphics-600-11-6-hd-win-10-pro-p172802609.html?spid=172802685,Tiki
Apple,Apple MacBook Air M1 2020 - 13 Inches (8GB/ 16GB - 256GB/ 512GB) - Hàng Chính Hãng,13,Apple M1,8GB,SSD: 256GB,23100000,23100000,https://tiki.vn/apple-macbook-air-2020-m1-13-inchs-hang-chinh-hang-p124742926.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.73795627&itm_medium=CPC&itm_source=tiki-reco&spid=73795627,Tiki
Huawei,Máy Tính Xách Tay Laptop Huawei Matebook D15 (8GB/256GB) Share | Màn Hình HUAWEI Fullview | | HUAWEI Phím Ngu<U+1ED3>n K<U+1EBF>t H<U+1EE3>p B<U+1EA3>o M<U+1EAD>t Vân Tay | Hàng Chính Hãng,15.6,AMD Ryzen 5,8GB,SSD: 256GB,13990000,13990000,https://tiki.vn/may-tinh-xach-tay-laptop-huawei-matebook-d15-8gb-256gb-share-man-hinh-huawei-fullview-huawei-phim-nguon-ket-hop-bao-mat-van-tay-hang-chinh-hang-p74556865.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.115467366&itm_medium=CPC&itm_source=tiki-reco&spid=115467366,Tiki
Apple,Apple MacBook Pro M1 PRO 2021 - 14 Inchs (M1 PRO - 16GB - 512GB/ 1TB) - Hàng Chính Hãng,14,Apple M1 Pro,16GB,SSD: 512GB,48200000,48200000,https://tiki.vn/apple-macbook-pro-m1-pro-2021-14-inchs-m1-pro-16gb-512gb-1tb-hang-chinh-hang-p144923785.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.144923789&itm_medium=CPC&itm_source=tiki-reco&spid=144923789,Tiki
Lenovo,Laptop Lenovo Thinkpad T470 Coi5 - 6300U - 8Gb RAM DDR4 - 256G SSD NVME - Intel HD Graphics 620 - MH 14.0in FHD IPS - t<U+1EB7>ng c<U+1EB7>p + chu<U+1ED9>t không dây + bàn di chu<U+1ED9>t - HÀNG CHÍNH HÃNG,14,Intel Core i5,8GB,SSD: 256GB,16000000,8949000,https://tiki.vn/laptop-lenovo-thinkpad-t470-coi5-6300u-8gb-ram-ddr4-256g-ssd-nvme-intel-hd-graphics-620-mh-14-0in-fhd-ips-tang-cap-chuot-khong-day-ban-di-chuot-hang-chinh-hang-p173515536.html?spid=173515538,Tiki
Apple,Apple Mac Mini M1 2020 - 13 Inches (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,13,Apple M1,8GB,SSD: 256GB,17390000,17390000,https://tiki.vn/apple-mac-mini-m1-2020-13-inchs-8gb-16gb-256gb-512gb-hang-chinh-hang-p124903733.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.73788534&itm_medium=CPC&itm_source=tiki-reco&spid=73788534,Tiki
Apple,Apple MacBook Pro M1 2020 - 13 Inchs (8GB / 16GB - 256GB / 512GB) - Hàng Chính Hãng,13,Apple M1,8GB,SSD: 256GB,30100000,30100000,https://tiki.vn/apple-macbook-pro-m1-2020-13-inchs-8gb-16gb-256gb-512gb-hang-chinh-hang-p125013938.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.73795657&itm_medium=CPC&itm_source=tiki-reco&spid=73795657,Tiki
Lenovo,Laptop Lenovo IP 1 11IGL05 81VT006FVN (Pentium N5030/ 4GB DDR4 2400MHz/ 256GB SSD/ 11.6 HD/ WIn 11) - Hàng Chính Hãng,11.6,Intel Pentium,4GB,SSD: 256GB,8990000,6989000,https://tiki.vn/laptop-lenovo-ip-1-11igl05-81vt006fvn-pentium-n5030-4gb-ddr4-2400mhz-256gb-ssd-11-6-hd-win10-hang-chinh-hang-p125897193.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.125897195&itm_medium=CPC&itm_source=tiki-reco&spid=125897195,Tiki
Lenovo,"laptop Lenovo Thinkpad T470S ( Core i7 - 6700U / Ram 8GB DDR4 / SSD NVME 256Gb / Card Intel HD Graphics 620 / Màn hình 14 inch ) M<U+1ECF>ng nh<U+1EB9> , Ch<U+1EA1>y siêu nhanh - HÀNG CHÍNH HÃNG",14,Intel Core i7,8GB,SSD: 256GB,17000000,11590000,https://tiki.vn/laptop-lenovo-thinkpad-t470s-core-i7-6700u-ram-8gb-ddr4-ssd-nvme-256gb-card-intel-hd-graphics-620-man-hinh-14-inch-bao-hanh-6-thang-mong-nhe-chay-sieu-nhanh-hang-chinh-hang-p166408725.html?spid=166408731,Tiki
Dell,Laptop Dell Inspiron 3505 Y1N1T3 (AMD R3-3250U/ 8GB/ 256SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,15.6,AMD Ryzen 3,8GB,SSD: 256GB,12500000,12500000,https://tiki.vn/laptop-dell-inspiron-3505-y1n1t3-amd-r3-3250u-8gb-256ssd-15-6-fhd-win10-office-hang-chinh-hang-p129602068.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.162516648&itm_medium=CPC&itm_source=tiki-reco&spid=162516648,Tiki
