Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
HP,HP Pavilion 15 EG0507TU 46M06PA,15.6,Intel Core i5,8GB,SSD: 256GB,17990000,17190000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0507tu-46m06pa.html,CellphoneS
MSI,MSI Modern 14 B5M 204VN,14,AMD Ryzen 5,8GB,SSD: 512GB,17990000,14990000,https://cellphones.com.vn/laptop-msi-modern-14-b5m-204vn.html,CellphoneS
Apple,Apple MacBook Pro 13 Touch Bar M1 16GB 256GB 2020 I Chính hãng Apple Vi<U+1EC7>t Nam ,13.3,Apple M1,16GB,SSD: 256GB,42990000,37500000,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,CellphoneS
Asus,Laptop Asus Zenbook UX482EA KA397W,14,Intel Core i5,8GB,SSD: 512GB,32990000,29990000,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka397w.html,CellphoneS
MSI,Laptop MSI Modern 15 A5M 238VN,15.6,AMD Ryzen 5,8GB,SSD: 512GB,18990000,15990000,https://cellphones.com.vn/laptop-msi-modern-15-a5m-238vn.html,CellphoneS
Fujitsu,Laptop Fujitsu UH X 9U13A2 4ZR1G97610,13.3,Intel Core i7,16GB,SSD: 1TB,35990000,29990000,https://cellphones.com.vn/laptop-fujitsu-uh-x-9u13a2-4zr1g97610.html,CellphoneS
Apple,iMac 24 2021 M1 7GPU 8GB 256GB I Chính hãng Apple Vi<U+1EC7>t Nam,24,Apple M1,8GB,SSD: 256GB,34990000,32000000,https://cellphones.com.vn/imac-2021.html,CellphoneS
Asus,Laptop ASUS ZenBook Flip UX363EA,13.3,Intel Core i5,8GB,SSD: 512GB,27990000,23990000,https://cellphones.com.vn/laptop-asus-zenbook-flip-ux363ea-hp726w.html,CellphoneS
Apple,Apple MacBook Air M1 16GB 256GB 2020 I Chính hãng Apple Vi<U+1EC7>t Nam ,13.3,Apple M1,16GB,SSD: 256GB,33990000,29500000,https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,CellphoneS
Asus,Laptop ASUS TUF Dash F15 FX516PC-HN001T,15.6,Intel Core i7,8GB,SSD: 512GB,28990000,23490000,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pc-hn001t.html,CellphoneS
MSI,Laptop Gaming MSI Bravo 15 B5DD 276VN,15.6,AMD Ryzen 5,8GB,SSD: 512GB,22490000,17390000,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b5dd-276vn.html,CellphoneS
Asus,Laptop ASUS TUF Gaming F15 FX506HCB-HN1138W,15.6,Intel Core i5,8GB,SSD: 512GB,25990000,22990000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hcb-hn1138w.html,CellphoneS
Asus,Laptop Asus Vivobook A415EA EB1474W,14,Intel Core i5,8GB,SSD: 512GB,18790000,16490000,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb1474w.html,CellphoneS
Dell,Laptop Intel Evo Dell Inspiron 7000,13.3,Intel Core i5,8GB,SSD: 512GB,24990000,21990000,https://cellphones.com.vn/laptop-dell-inspiron-7000-i7306-5934slv.html,CellphoneS
Asus,Laptop Asus Zenbook UX425EA-KI883W,14,Intel Core i5,8GB,SSD: 512GB,23990000,21290000,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki883w.html,CellphoneS
HP,Laptop HP Pavilion 15-EG0505TU 46M02PA,15.6,Intel Core i5,8GB,SSD: 512GB,18990000,18290000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0505tu-46m02pa.html,CellphoneS
Asus,Laptop Asus Flip BR1100FKA-BP1088W,11.6,Intel Celeron,4GB,eMMC: 128GB,10290000,8590000,https://cellphones.com.vn/laptop-asus-flip-br1100fka-bp1088w.html,CellphoneS
Huawei,Laptop Huawei Matebook D15,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,17990000,https://cellphones.com.vn/laptop-huawei-matebook-d15.html,CellphoneS
Lenovo,Laptop Lenovo Thinkbook 16P G2 ACH 20YM003JVN,16,AMD Ryzen 5,16GB,SSD: 512GB,39600000,33990000,https://cellphones.com.vn/laptop-lenovo-thinkbook-16p-g2-ach-20ym003jvn.html,CellphoneS
Apple,Macbook Pro 16 M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Vi<U+1EC7>t Nam,16.2,Apple M1 Max,32GB,SSD: 512GB,92990000,92990000,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html,CellphoneS
Microsoft,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Nh<U+1EAD>p Kh<U+1EA9>u Chính Hãng,12.4,Intel Core i5,8GB,SSD: 128GB,23990000,17490000,https://cellphones.com.vn/surface-laptop-go.html,CellphoneS
Dell,Laptop Dell Gaming G5 5510,15.6,Intel Core i5,8GB,SSD: 256GB,23990000,20490000,https://cellphones.com.vn/laptop-dell-gaming-g5-5510.html,CellphoneS
Lenovo,Laptop Lenovo Idepad 5 Pro 16ACH6 82L50095VN,16,AMD Ryzen 5,8GB,SSD: 512GB,24990000,22890000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16ach6-82l50095vn.html,CellphoneS
HP,Laptop HP Gaming Victus 16-E0177AX 4R0U9PA,16.1,AMD Ryzen 5,8GB,SSD: 512GB,22990000,20790000,https://cellphones.com.vn/laptop-hp-victus-16-e0177ax-4r0u9pa.html,CellphoneS
Lenovo,Laptop Lenovo Ideapad 5 PRO 14ACN6 82L700MAVN,14,AMD Ryzen 7,16GB,SSD: 512GB,23990000,22490000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l700mavn.html,CellphoneS
Asus,Laptop ASUS ZenBook UX325EA-KG363T,13.3,Intel Core i5,8GB,SSD: 512GB,25290000,21690000,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,CellphoneS
Asus,Laptop Asus Vivobook x415EA EB640,14,Intel Core i5,4GB,SSD: 512GB,16990000,15190000,https://cellphones.com.vn/laptop-asus-vivobook-x415ea-eb640w.html,CellphoneS
MSI,Laptop MSI Gaming GF65 THIN 10UE-286VN ,15.6,Intel Core i5,16GB,SSD: 512GB,29490000,25490000,https://cellphones.com.vn/laptop-msi-gaming-gf65-thin-10ue-286vn.html,CellphoneS
Dell,Laptop Dell Inspiron 14 7415 ,14,AMD Ryzen 5,8GB,SSD: 512GB,20990000,19290000,https://cellphones.com.vn/laptop-dell-inspiron-14-7415.html,CellphoneS
Lenovo,Laptop Lenovo ideapad 5 15ITL05,15.6,Intel Core i5,8GB,SSD: 256GB,18990000,16490000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15itl05-82fg01h8vn.html,CellphoneS
Acer,Laptop Gaming Acer Nitro 5 Eagle AN515-57-720A NH.QEQSV.004,15.6,Intel Core i7,8GB,SSD: 512GB,30490000,27290000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-eagle-an515-57-720a.html,CellphoneS
Asus,Laptop Asus Vivobook Pro M3401QA KM006W,14,AMD Ryzen 5,8GB,SSD: 512GB,20990000,18590000,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3401qa-km006w.html,CellphoneS
Lenovo,Laptop Lenovo Legion 5 Pro LE16ITH6H 82JD00BCVN,16,Intel Core i7,16GB,SSD: 512GB,46990000,39990000,https://cellphones.com.vn/laptop-lenovo-legion-5-pro-16ith6h-82jd00bcvn.html,CellphoneS
Apple,Apple MacBook Pro 13 Touch Bar M1 16GB 512GB 2020 I Chính hãng Apple Vi<U+1EC7>t Nam ,13.3,Apple M1,16GB,SSD: 512GB,46990000,42000000,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,CellphoneS
Microsoft,Surface Pro 7 Plus Core i5 / 8GB / 128GB Nh<U+1EAD>p Kh<U+1EA9>u Chính Hãng,12.3,Intel Core i5,8GB,SSD: 128GB,31590000,22590000,https://cellphones.com.vn/surface-pro-7-plus.html,CellphoneS
MSI,Laptop MSI Gaming GF63 10SC 812VN,15.6,Intel Core i7,8GB,SSD: 512GB,22990000,20390000,https://cellphones.com.vn/laptop-msi-gaming-gf63-10sc-812vn.html,CellphoneS
Microsoft,Surface Pro 8 Core i5 / 8GB / 128GB Nh<U+1EAD>p kh<U+1EA9>u chính hãng,13,Intel Core i5,8GB,SSD: 128GB,35990000,26990000,https://cellphones.com.vn/surface-pro-8.html,CellphoneS
Asus,Laptop Asus Vivobook X515EA EJ1046W,15.6,Intel Core i5,8GB,SSD: 512GB,17690000,15790000,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej1046w.html,CellphoneS
Lenovo,Laptop Lenovo ThinkBook 15 G3 ACL 21A400CHVN,15.6,AMD Ryzen 3,8GB,SSD: 512GB,15590000,13790000,https://cellphones.com.vn/laptop-lenovo-thinkbook-15-g3-acl-21a400chvn.html,CellphoneS
Asus,Laptop Asus Zenbook UX425EA-KI839W ,14,Intel Core i5,8GB,SSD: 512GB,23990000,21290000,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki839w.html,CellphoneS
Acer,Laptop Gaming Acer Nitro 5 AN515-45-R86D NH.QBCSV.005,15.6,AMD Ryzen 7,8GB,SSD: 512GB,33990000,31390000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-45-r86d.html,CellphoneS
Microsoft,Surface Pro 7 Core i3 / 4GB / 128GB Nh<U+1EAD>p Kh<U+1EA9>u Chính Hãng,12.3,Intel Core i3,4GB,SSD: 512GB,18990000,15990000,https://cellphones.com.vn/surface-laptop-pro-7-core-i3-ram-4gb-ssd-128gb-12-3inch.html,CellphoneS
Dell,Laptop Dell Inspirion 15 3000 I3511 5101BLK,15.6,Intel Core i5,8GB,SSD: 256GB,19990000,16990000,https://cellphones.com.vn/laptop-dell-inspiron-15-3000-i3511-5101blk.html,CellphoneS
Asus,Laptop ASUS VivoBook A515EA-L12033W,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,18490000,https://cellphones.com.vn/laptop-asus-vivobook-a515ea-l12033w.html,CellphoneS
Asus,Laptop ASUS TUF Dash F15 FX517ZC,15.6,Intel Core i5,8GB,SSD: 1TB,27990000,25990000,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx517zc-hn077w.html,CellphoneS
Acer,Laptop Acer Aspire 5 A514-54-59QK NX.A2ASV.008,14,Intel Core i5,8GB,SSD: 512GB,18490000,15790000,https://cellphones.com.vn/laptop-acer-aspire-5-a514-54-59qk.html,CellphoneS
Acer,Laptop Gaming Acer Nitro 5 Eagle AN515-57-54MV NH.QENSV.003,15.6,Intel Core i5,8GB,SSD: 512GB,26490000,23290000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-eagle-an515-57-54mv.html,CellphoneS
LG,Laptop LG Gram 2021 14ZD90P-G.AX51A5 14 inch,14,Intel Core i5,8GB,SSD: 256GB,34900000,29990000,https://cellphones.com.vn/laptop-lg-gram-2021-i5-ram-8gb-ssd-256gb-free-os.html,CellphoneS
Lenovo,Laptop Lenovo Legion 5 15ITH6H 82JH002WVN,15.6,Intel Core i7,16GB,SSD: 512GB,42490000,36290000,https://cellphones.com.vn/laptop-lenovo-legion-5-15ith6h-82jh002wvn.html,CellphoneS
HP,Laptop HP Envy 13-BA1537TU 4U6P0PA ,13.3,Intel Core i5,8GB,SSD: 256GB,23990000,20390000,https://cellphones.com.vn/laptop-hp-envy-13-ba1537tu-4u6p0pa.html,CellphoneS
Asus,Laptop Asus Rog Strix G15 G513IM HN008W,15.6,AMD Ryzen 7,16GB,SSD: 512GB,34990000,31190000,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513im-hn008w.html,CellphoneS
Lenovo,Laptop Lenovo Thinkbook 15 G2 ITL,15.6,Intel Core i5,8GB,SSD: 512GB,20590000,17990000,https://cellphones.com.vn/laptop-lenovo-thinkbook-15-g2-itl-20ve00usvn.html,CellphoneS
Acer,Laptop Acer Aspire 3 A315-56-37DV NX.HS5SV.001,15.6,Intel Core i3,4GB,SSD: 256GB,12990000,11290000,https://cellphones.com.vn/laptop-acer-aspire-3-a315-56-37dv.html,CellphoneS
Asus,Laptop Asus Vivobook Pro M3500QC L1388W,15.6,AMD Ryzen 5,16GB,SSD: 512GB,27590000,25590000,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3500qc-l1388w.html,CellphoneS
Asus,Laptop Asus Zenbook 14X UM5401QA KN209W,14,AMD Ryzen 5,8GB,SSD: 512GB,27990000,24090000,https://cellphones.com.vn/laptop-asus-zenbook-14x-um5401qa-kn209w.html,CellphoneS
Asus,Laptop Asus Vivobook Flip 14 TP470EA EC346W,14,Intel Core i3,4GB,SSD: 512GB,16590000,14790000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec346w.html,CellphoneS
Apple,Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021 | Chính hãng Apple Vi<U+1EC7>t Nam,14.2,Apple M1 Pro,16GB,SSD: 512GB,65990000,64000000,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,CellphoneS
Lenovo,Laptop Lenovo Ideapad 3 81WH,14,Intel Pentium,4GB,SSD: 128GB,11990000,9790000,https://cellphones.com.vn/laptop-lenovo-ideapad-3-81wh-pent.html,CellphoneS
MSI,Laptop MSI GP66 Leopard 11UE-643VN,15.6,Intel Core i7,16GB,SSD: 1TB,44990000,38790000,https://cellphones.com.vn/laptop-msi-gp66-leopard-11ue-643vn.html,CellphoneS
Dell,Laptop Dell Gaming G15 5511,15.6,Intel Core i5,8GB,SSD: 256GB,27990000,24590000,https://cellphones.com.vn/laptop-dell-gaming-g15-5511.html,CellphoneS
Lenovo,Laptop Lenovo ideapad 3 15ITL6 82H800M5VN,14,Intel Core i3,8GB,SSD: 256GB,13990000,12290000,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15itl6-82h800m5vn.html,CellphoneS
Asus,Laptop ASUS Gaming ROG Strix G17 G713RM-LL016W,17.3,AMD Ryzen 7,16GB,SSD: 512GB,46990000,43990000,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713rm-ll016w.html,CellphoneS
Asus,Laptop ASUS VivoBook A515EP-BQ498T,15.6,Intel Core i5,8GB,SSD: 512GB,20090000,18590000,https://cellphones.com.vn/laptop-asus-vivobook-a515ep-bq498t.html,CellphoneS
Asus,Laptop Asus TUF Gaming F15 FX506HC-HN002T,15.6,Intel Core i5,8GB,SSD: 512GB,25990000,24390000,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hc-hn002t.html,CellphoneS
Microsoft,Surface Laptop 4 Ryzen 5 / 8GB / 256 GB / 13.5 inches Chính Hãng,13.5,AMD Ryzen 5,8GB,SSD: 256GB,29990000,26690000,https://cellphones.com.vn/surface-laptop-4.html,CellphoneS
MSI,Laptop MSI Modern 15 A10MU-667VN,15.6,Intel Core i5,8GB,SSD: 512GB,18490000,16990000,https://cellphones.com.vn/laptop-msi-modern-15-a10mu-667vn.html,CellphoneS
MSI,Laptop MSi Gaming GF63 11UC 443VN,15.6,Intel Core i5,8GB,SSD: 512GB,25490000,21490000,https://cellphones.com.vn/laptop-msi-gaming-gf63-11uc-443vn.html,CellphoneS
HP,Laptop HP Gaming Victus 16-E0175AX 4R0U8PA,16.1,AMD Ryzen 7,8GB,SSD: 512GB,26490000,22690000,https://cellphones.com.vn/laptop-hp-victus-16-e0175ax-4r0u8pa.html,CellphoneS
Acer,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F,15.6,Intel Core i5,4GB,SSD: 256GB,13990000,13490000,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,CellphoneS
MSI,Laptop MSI Gaming Alpha 15 B5eek 203VN,15.6,AMD Ryzen 5,8GB,SSD: 512GB,32490000,29690000,https://cellphones.com.vn/laptop-msi-gaming-alpha-15-b5eek-203vn.html,CellphoneS
Asus,Laptop Asus Zenbook UX425EA KI843W,14,Intel Core i7,16GB,SSD: 512GB,30690000,27290000,https://cellphones.com.vn/laptop-asus-zenbook-ux425ea-ki843w.html,CellphoneS
Asus,Laptop Asus Vivobook Flip 14 TP470EA EC347W,14,Intel Core i5,8GB,SSD: 512GB,20090000,18590000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec347w.html,CellphoneS
Microsoft,Surface Pro 7 Core i5 / 8GB / 256GB Nh<U+1EAD>p Kh<U+1EA9>u Chính Hãng,12.3,Intel Core i5,8GB,SSD: 256GB,29990000,24590000,https://cellphones.com.vn/surface-laptop-pro-7-core-i5-ram-8gb-ssd-256gb-12-3inch.html,CellphoneS
Apple,Apple MacBook Air M1 512GB 2020 I Chính hãng Apple Vi<U+1EC7>t Nam ,13.3,Apple M1,8GB,SSD: 512GB,34990000,30000000,https://cellphones.com.vn/macbook-air-2020-m1-512gb.html,CellphoneS
