Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Acer,Acer Nitro Gaming AN515-45-R6EV/R5-5600H,15.6,AMD Ryzen 5,8GB,SSD: 512GB,23999000,21599000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r6ev-r5-5600h,FPTshop
Asus,Asus TUF Gaming FX506LH-HN188W/i5-10300H,15.6,Intel Core i5,8GB,SSD: 512GB,21999000,19799000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506lh-hn188w-i5-10300h,FPTshop
HP,"Laptop HP Gaming VICTUS 16-e0175AX R5 5600H/8GB/512GB/RTX 3050Ti 4GB/16.1"" FHD/Win 11",16.1,AMD Ryzen 5,8GB,SSD: 512GB,26499000,23589000,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-16-e0175ax-r5-5600h-rtx-3050ti,FPTshop
Acer,Acer Aspire Gaming A715-42G-R05G/R5-5500U,15.6,AMD Ryzen 5,8GB,SSD: 512GB,21999000,19799000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r05g-r5-5500u,FPTshop
HP,MTXT HP Gaming VICTUS 16-e0179AX R5 5600H/4R0V0PA,16.1,AMD Ryzen 5,8GB,SSD: 512GB,26499000,23589000,https://fptshop.com.vn/may-tinh-xach-tay/hp-victus-16-e0179ax-r5-5600h,FPTshop
Asus,Asus Gaming Zephyrus GA401QH-K2091W/R7-5800HS,14,AMD Ryzen 7,8GB,SSD: 512GB,29999000,26999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-zephyrus-ga401qh-k2091w-r7-5800hs,FPTshop
Acer,Acer Nitro Gaming AN515-57-5669/i5-11400H,15.6,Intel Core i5,8GB,SSD: 512GB,23999000,21599000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-5669-i5-11400h,FPTshop
MSI,MSI Gaming GF63 Thin 10SC-481VN i7 10750H,15.6,Intel Core i5,8GB,SSD: 512GB,22999000,20700000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-10sc-481vn-i7-10750h,FPTshop
Asus,Asus TUF Gaming FX506LH-HN002T/i5-10300H,15.6,Intel Core i5,8GB,SSD: 512GB,20999000,18899000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506lh-hn002t-i5-10300h,FPTshop
Asus,Asus Gaming TUF FX506HCB-HN144W/i5-11400H,15.6,Intel Core i5,8GB,SSD: 512GB,25499000,22949000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx506hcb-hn144w-i5-11400h,FPTshop
Acer,Acer Nitro Gaming AN515-57-54MV/i5-11400H,15.6,Intel Core i5,8GB,SSD: 512GB,26499000,23849000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h,FPTshop
Lenovo,Lenovo Ideapad Slim 3 14ITL6  i3 1115G4,14,Intel Core i3,8GB,SSD: 512GB,14899000,12400000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14itl6-i3-1115g4,FPTshop
HP,HP Envy 13-ba1536TU Core i5-1135g7/4U6M5PA,13.3,Intel Core i5,8GB,SSD: 512GB,23999000,22999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1536tu-i5-1135g7-win-11,FPTshop
Lenovo,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,15.6,Intel Core i5,8GB,SSD: 512GB,19799000,16800000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-5-15itl05-i5-1135g7,FPTshop
Asus,Asus Zenbook UX325EA-KG656W/i5-1135G7,13.3,Intel Core i5,8GB,SSD: 512GB,23499000,22499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux325ea-kg656w-i5-1135g7,FPTshop
Lenovo,MTXT Lenovo Yoga 7 14ACN6 R5 5600U/82N7002MVN,14,AMD Ryzen 5,8GB,SSD: 512GB,24999000,22500000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r5-5600u,FPTshop
