Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Xiaomi,Laptop Xiaomi Redmibook 13 core i5 10210U ram 8GB Rom 512GB NVIDIA GeForce  MX250,13.3,Intel Core i5,8GB,SSD: 512GB,16990000,16990000,https://sendo.vn/laptop-xiaomi-redmibook-13-core-i5-10210u-ram-8gb-rom-512gb-nvidia-geforce-mx250-41707790.html,Sendo
Asus,"Laptop ASUS X409FA-EK470T- B<U+1EA0>C (I3-8145U/4GB/SSD512GB/14""FHD/WIN 10)",14.1,Intel Core i3,4GB,SSD: 512GB,10690000,10690000,https://sendo.vn/laptop-asus-x409fa-ek470t-bac-i3-8145u4gbssd512gb14fhdwin-10-37034523.html,Sendo
HP,Laptop HP 245 G8 R3 5300U/8G/512GB/14''HD/Win 11 - B<U+1EA1>c,14,AMD Ryzen 3,8GB,SSD: 512GB,13699000,13199000,https://sendo.vn/laptop-hp-245-g8-r3-5300u8g512gb14hdwin-11-bac-73178592.html,Sendo
Asus,Laptop Asus Vivobook X515EP-BQ401W i5 1135G7/8GB/512GB SSD/Nvidia GeForce MX330 2GB/Win11 - Xám,15.6,Intel Core i5,8GB,SSD: 512GB,18999000,18199000,https://sendo.vn/laptop-asus-vivobook-x515ep-bq401w-i5-1135g78gb512gb-ssdnvidia-geforce-mx330-2gbwin11-xam-73178581.html,Sendo
Acer,Laptop Acer Aspire 3 A315-58-35AG i3 1115G4/4GB/256GB SSD/15.6''FHD/Win11 - B<U+1EA1>c,15.6,Intel Core i3,4GB,SSD: 256GB,12499000,11249000,https://sendo.vn/laptop-acer-aspire-3-a315-58-35ag-i3-1115g44gb256gb-ssd156fhdwin11-bac-73178580.html,Sendo
HP,"Laptop HP Pavilion 15 eg0540TU i5 1135G7/8GB/256GB/15.6F""HD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 256GB,17999000,17499000,https://sendo.vn/laptop-hp-pavilion-15-eg0540tu-i5-1135g78gb256gb156fhdwin-11-bac-73178575.html,Sendo
HP,"Laptop HP Pavilion 15 eg0539TU i5 1135G7/8GB/512GB/15.6""FHD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 512GB,18999000,18499000,https://sendo.vn/laptop-hp-pavilion-15-eg0539tu-i5-1135g78gb512gb156fhdwin-11-bac-73178573.html,Sendo
Asus,Laptop Asus Gaming TUF FX506HCB-HN144W i5 11400H/8GB/512GB SSD/Nvidia RTX 3050 4GB/Win11 - Ðen,15.6,Intel Core i5,8GB,SSD: 512GB,25499000,22949000,https://sendo.vn/laptop-asus-gaming-tuf-fx506hcb-hn144w-i5-11400h8gb512gb-ssdnvidia-rtx-3050-4gbwin11-den-73178508.html,Sendo
Asus,Laptop Asus TUF Gaming FX506LH-HN188W i5 10300H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11 - Ðen,15.6,Intel Core i5,8GB,SSD: 512GB,21999000,19799000,https://sendo.vn/laptop-asus-tuf-gaming-fx506lh-hn188w-i5-10300h8gb512gb-ssdnvidia-gtx1650-4gbwin11-den-73178478.html,Sendo
HP,"Laptop HP 15s du1110TU i3 10110U/8GB/512GB SSD/15.6""HD/Win 11 - Vàng",15.6,Intel Core i3,8GB,SSD: 512GB,13899000,13399000,https://sendo.vn/laptop-hp-15s-du1110tu-i3-10110u8gb512gb-ssd156hdwin-11-vang-73178467.html,Sendo
